"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Tror ikke sundhedsmyndighederne forstår, at der ikke er noget så uhyggeligt, som når de prøver at mane til ro ved a… https://t.co/NIEF8DqojL",FALSE,0,"Matematikus10",2020-03-13 23:19:25,TRUE,"1238605614298923008","1238605615552966657","1237053248869187616","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Matematikus10",0,FALSE,FALSE,NA,NA
"2","Tror ikke læger forstår, at der ikke er noget så uhyggeligt, som når de prøver at dæmpe patientens bekymring med vi… https://t.co/YiEtO6bumC",FALSE,0,NA,2020-03-13 23:19:25,TRUE,NA,"1238605614298923008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Matematikus10",0,FALSE,FALSE,NA,NA
"3","Jeg er ikke sikker på, at folk i København tjener 190% mere end dem i Kalundborg. 
Til en orientering, så koster 50… https://t.co/QAhfFVuhj9",FALSE,1,NA,2020-03-13 23:00:12,TRUE,NA,"1238600777708507143",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BangClemme",0,FALSE,FALSE,NA,NA
"4","Skandinavia nå. #coronasverige  #coronadk #coronanorge https://t.co/zkqWgWhQPw",FALSE,0,NA,2020-03-13 22:57:32,FALSE,NA,"1238600108549292032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MEDIABLIKK",0,FALSE,FALSE,NA,NA
"5","Så er Kina vist ved at være på den anden side af corona, interesant teori de har smidt på bordet, så kan næsten gæt… https://t.co/lpupvGN0MX",FALSE,0,NA,2020-03-13 22:56:42,TRUE,NA,"1238599899366776833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","niclaskjaer",0,FALSE,FALSE,NA,NA
"6","<U+26BD><U+FE0F> All we can do now is to wait... #soccer #football #denmark #corona #coronadk #sldk #1div #2div 
.
Picture taken… https://t.co/5xhRF3LDW3",FALSE,0,NA,2020-03-13 22:47:37,TRUE,NA,"1238597611508072453",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","termansen",0,FALSE,FALSE,"12.0918","55.6404"
"7","Lidt træls at være ordblind medløber i disse Corona tider... <U+0001F941> #jegfinderselvud #coronadk #COVID19dk https://t.co/APIKjAPhJs",FALSE,3,NA,2020-03-13 22:44:37,FALSE,NA,"1238596858517340161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thechiefunicorn",1,FALSE,FALSE,NA,NA
"8","Gad vide om mine milde vejrtrækningsudfordringer og trykken for brystet skyldes coronarelateret influenza eller cor… https://t.co/KEQIgm2yWg",FALSE,0,NA,2020-03-13 22:41:11,TRUE,NA,"1238595995463757828",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bastiankjar",0,FALSE,FALSE,NA,NA
"9","Dette er hvad vi kan se ind i. Forstår fuldt ud, at regeringen tager mange tiltag tidligt. 
Chok på chok i Italien.… https://t.co/GqBlUV7lvn",FALSE,2,NA,2020-03-13 22:24:14,TRUE,NA,"1238591726312394760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TorbenJrgensen3",1,FALSE,FALSE,NA,NA
"10","For fucks sake - prøv lige at trykke på stopknappen, når I vil gøre noget impulsivt efter et pressemøde. Sov lige p… https://t.co/CwhWst9k2m",FALSE,6,NA,2020-03-13 22:14:33,TRUE,NA,"1238589290252288003",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rbodker",0,FALSE,FALSE,NA,NA
"11","Hvor jeg savner #24syv har hørt en del #Radio4 på det sidste de bliver bedre og bedre.
#Covid19 #Coronadk
PUBLIC CO… https://t.co/fAH0BVET5G",FALSE,0,NA,2020-03-13 21:52:02,TRUE,NA,"1238583622740905984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bjarnekim",0,FALSE,FALSE,NA,NA
"12","Nå men jeg havde faktisk også planer om at skære ned på bland selv slik<U+0001F60F> #jajajegvedgodtdeterenmegetlilleting #coronadk",FALSE,3,NA,2020-03-13 21:38:10,FALSE,NA,"1238580134979960833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TinaBirkholm",0,FALSE,FALSE,NA,NA
"13","Der kan blive meget stille i sommerhusene op til påske. 

Dog trænger danskerne nok til at komme hjemmefra og vil s… https://t.co/fSlFyxxmJY",FALSE,0,NA,2020-03-13 21:35:27,TRUE,NA,"1238579451790852096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakobSchjodt",0,FALSE,FALSE,NA,NA
"14","Kære <U+2066>@skaarup_df<U+2069>, <U+2066>@Kristianthdahl<U+2069> 
Inden I kommer alt for meget i bukserne over lukning af grænserne, så husk l… https://t.co/CUNXnnCTju",FALSE,8,NA,2020-03-13 21:29:24,TRUE,NA,"1238577927803080705",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","andershooge",1,FALSE,FALSE,NA,NA
"15","Under pressekonferencen foran Det Hvide Hus kunne jeg kun tænke én tanke: Lad nu være med at røre ved den mikrofon… https://t.co/1HzasOohqX",FALSE,2,NA,2020-03-13 21:04:03,TRUE,NA,"1238571547696287748",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Line_bam",0,FALSE,FALSE,NA,NA
"16","Fuld tillid til verdens mest udbyggede velfærdsstat. Super godt skrevet #dkpol #Covid_19 #coronadk  https://t.co/i7gB82XvMS",FALSE,2,NA,2020-03-13 21:02:36,FALSE,NA,"1238571183727149058",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","anderspape",0,FALSE,FALSE,NA,NA
"17","Hvad gør ludomanerne egentlig i disse dage? Over/under seks grønne biler i krydset det næste kvarter-agtige væddemål? 
#coronadk",FALSE,29,NA,2020-03-13 20:50:43,FALSE,NA,"1238568192852836360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JorgeMads",0,FALSE,FALSE,NA,NA
"18","Gad vide hvad der sker med danskere og svenskere, som bor og arbejder i Skåne, som skal hjem med fly fra udlandet?… https://t.co/cZpCsFgxqh",FALSE,1,NA,2020-03-13 20:40:06,TRUE,NA,"1238565521819344897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marie_Nielsen",0,FALSE,FALSE,NA,NA
"19","Når grænserne åbner igen, synes jeg, vi skal prøve at sælge smileyordningen til Kina. Kæmpe koncept. 
#coronadk",FALSE,174,NA,2020-03-13 20:35:12,FALSE,NA,"1238564287171477504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JorgeMads",4,FALSE,FALSE,NA,NA
